"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","alpha_nominal","ks_engine"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.95,2,NA,5,500,1608.486,2419.18285567304,108.18914630574,1396.43916972262,1820.53283027738,0.067261478375155,0,25.5,63.0778823529412,50,0.1,"asymp"
1,"raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,1,500,109.8,220.795156201407,9.87425956738062,90.4468068739339,129.153193126066,0.0899295042566541,0,10.5,10.4571428571429,100,0.05,"asymp"
1,"raw P_t alpha=0.05","p_shewhart",0.05,"marginal",NA,NA,NA,5,500,517.54,619.854447004248,27.7207335931408,463.208360532414,571.871639467586,0.0535624948663693,0,50.5,10.2483168316832,100,0.05,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.9,NA,1,500,33819.78,57422.7676968948,2568.02424052872,28786.5449771379,38853.0150228621,0.0759326122325076,0.06,10.5,3220.93142857143,100,0.05,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.9,NA,5,500,78572.472,80497.0125161503,3599.93583943527,71516.7274080519,85628.2165919481,0.0458167567826461,0.238,50.5,1555.89053465347,100,0.05,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.8,NA,1,500,16675.41,36208.2064777942,1619.28022055392,13501.6790868362,19849.1409131638,0.09710587149305,0.016,10.5,1588.13428571429,100,0.05,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.8,NA,5,500,55111.876,68751.0369401168,3074.63984243401,49085.6926433974,61138.0593566026,0.0557890615524321,0.112,50.5,1091.32427722772,100,0.05,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.5,NA,1,500,12072.192,29344.0568134619,1312.30611541033,9500.11927710408,14644.2647228959,0.108704874426312,0.012,10.5,1149.73257142857,100,0.05,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,-0.5,NA,5,500,45052.99,61149.485306488,2734.68811868864,39693.0997784207,50412.8802215793,0.0606993702013704,0.074,50.5,892.138415841584,100,0.05,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,0.5,NA,1,500,157550.168,76733.6537733906,3431.63331998469,150824.290284682,164276.045715318,0.0217812101602119,0.744,10.5,15004.7779047619,100,0.05,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.5,0.5,NA,5,500,175296.144,61381.2919544322,2745.05482713742,169915.935403223,180676.352596777,0.0156595277254782,0.844,50.5,3471.21077227723,100,0.05,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.9,NA,1,500,19939.542,41852.922795299,1871.71960854678,16271.0389780909,23608.0450219091,0.0938697392621545,0.022,10.5,1899.004,100,0.05,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.9,NA,5,500,63688.476,73553.1931963267,3289.39879898323,57241.3728232036,70135.5791767964,0.0516482573548036,0.156,50.5,1261.15794059406,100,0.05,"asymp"
7,"Qtilde(lambda=0.70,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.8,NA,1,500,8091.524,20050.9182251779,896.704323255742,6334.01582163738,9849.03217836262,0.110820201887276,0.002,10.5,770.621333333333,100,0.05,"asymp"
7,"Qtilde(lambda=0.70,r=-0.80,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.8,NA,5,500,37999.878,54681.3366357816,2445.42371636314,33206.9355889881,42792.8204110119,0.0643534623022512,0.05,50.5,752.472831683168,100,0.05,"asymp"
8,"Qtilde(lambda=0.70,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.5,NA,1,500,3609.424,8289.45478819899,370.715688056481,2882.83460290531,4336.01339709469,0.102707714044258,0,10.5,343.754666666667,100,0.05,"asymp"
8,"Qtilde(lambda=0.70,r=-0.50,alpha=0.05)","qtilde",0.05,"marginal",0.7,-0.5,NA,5,500,18595.394,29705.4902589034,1328.46991047732,15991.6408209193,21199.1471790807,0.0714408046679365,0.002,50.5,368.225623762376,100,0.05,"asymp"
9,"Qtilde(lambda=0.70,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.7,0.5,NA,1,500,89203.812,89719.8521698706,4012.39376766126,81339.664723591,97067.959276409,0.0449800706685187,0.348,10.5,8495.60114285714,100,0.05,"asymp"
9,"Qtilde(lambda=0.70,r=0.50,alpha=0.05)","qtilde",0.05,"marginal",0.7,0.5,NA,5,500,126249.582,87319.2649503087,3905.0362434841,118595.851604448,133903.312395552,0.0309310825558543,0.54,50.5,2499.99172277228,100,0.05,"asymp"
10,"Qtilde(lambda=0.90,r=-0.90,alpha=0.05)","qtilde",0.05,"marginal",0.9,-0.9,NA,1,500,13032.446,30837.5612468689,1379.09766416624,10329.4642470709,15735.4277529291,0.105820324455305,0.012,10.5,1241.18533333333,100,0.05,"asymp"
